EMUL_OIL_L_TEMP_PV_VAL0,STAND_OIL_L_TEMP_PV_REAL_VAL0,GEAR_OIL_L_TEMP_PV_REAL_VAL0,EMUL_OIL_L_PR_VAL0,QUENCH_CW_FLOW_EXIT_VAL0,CAST_WHEEL_RPM_VAL0,BAR_TEMP_VAL0,QUENCH_CW_FLOW_ENTRY_VAL0,GEAR_OIL_L_PR_VAL0,STANDS_OIL_L_PR_VAL0,TUNDISH_TEMP_VAL0,RM_MOTOR_COOL_WATER__VAL0,ROLL_MILL_AMPS_VAL0,RM_COOL_WATER_FLOW_VAL0,EMULSION_LEVEL_ANALO_VAL0,   UTS,Elongation,Conductivity,%SI,%FE,%TI,%V,%AL,Furnace_Temperature
60.33390808,48.97892761,58.27366638,2.223241806,6.533118782,1.9571594,569.0731201,269.0070484,1.993370056,1.888092041,709.4128418,1.230436325,429.8828125,199.1480103,1152.378418,11.6,11.6,60.7,0.12,0.19,0.002,0.008,99.655,746.934082
60.27206421,49.03492737,57.99873352,2.274238586,2.487629442,1.962799072,598.5002441,121.2733817,1.993907928,1.882553101,699.2019043,1.205686569,414.519043,201.1133423,1156.36792,11.8,12.6,60.7,0.12,0.19,0.002,0.008,99.655,746.2939453
59.96174622,47.27737427,57.09101868,2.267448425,2.59755638,1.970452905,599.1070557,131.1977052,2.03266716,1.936386108,690.75,1.295858383,384.2456055,204.8723145,1147.686523,10.8,10.8,60.9,0.11,0.15,0.002,0.006,99.707,740.2229004
59.95664978,47.27752686,57.16786194,2.300718307,2.603691689,1.963806152,587.5423584,130.5497148,2.031892776,1.93462944,696.2668457,1.247526169,440.0244141,205.2021484,1151.772705,10.9,14,60.9,0.11,0.15,0.002,0.006,99.707,743.4482422
59.9577179,47.38986206,57.2532196,2.278879166,2.619808797,1.966223121,575.1763916,131.5801925,2.030771255,1.933570862,701.6281738,1.264982224,429.3530273,204.9353638,1152.342773,10.1,13.6,60.9,0.11,0.15,0.002,0.006,99.707,745.2236328
60.43768311,47.48040771,57.27485657,2.285207748,2.606679871,1.962597609,568.9053955,132.0043871,2.029283524,1.93347168,697.7988281,1.282550812,471.9628906,205.0131226,1156.776855,10.3,12.8,60.9,0.11,0.15,0.002,0.006,99.707,738.9387207
60.44839478,47.52381897,57.27685547,2.303619385,2.610685306,1.962396264,568.4002686,132.0898364,2.028284073,1.934482574,697.7988281,1.281677246,488.9916992,205.0091553,1156.776855,10.4,12,60.9,0.11,0.15,0.002,0.006,99.707,738.0090332
60.31988525,47.67507935,57.42382813,2.265314102,2.667206444,1.964007616,594.7006836,133.0002781,2.024787903,1.925989151,684.0214844,1.259660721,407.7075195,205.0484009,1160.053955,10.4,14.4,61,0.11,0.15,0.002,0.006,99.707,746.8198242
60.20561218,47.65768433,57.43675232,2.276561737,2.645589811,1.969043016,595.7667236,133.628432,2.021289825,1.927154541,692.2424316,1.303768158,402.7124023,204.9937134,1160.824707,10.3,15.6,61,0.11,0.15,0.002,0.006,99.707,738.1689453
59.50221252,47.84077454,57.58894348,2.293329239,2.725317041,1.962597609,592.1665039,134.1919904,2.010995865,1.925855637,697.578125,1.287708282,404.5288086,204.8378906,1148.126221,10.1,13.6,61.1,0.11,0.15,0.002,0.006,99.707,797.4619141
60.06124878,47.79222107,57.59642029,2.296655655,2.705957438,1.962799072,598.7724609,134.7758938,2.017051697,1.920484543,691.9589844,1.277351379,414.9731445,205.0084229,1147.245605,10.6,12,61.1,0.11,0.15,0.002,0.006,99.707,745.9162598
60.29000854,47.88989258,57.80250549,2.289146423,2.709199933,1.966827393,592.8015137,135.2407786,2.006835938,1.925161362,705.8337402,1.268924713,403.2421875,205.0293579,1143.472412,10.4,15.2,61.4,0.12,0.14,0.002,0.007,99.706,759.862793
60.01800537,47.80984497,58.00170898,2.296245575,2.678873068,1.959777832,599.7004395,135.0637765,2.004533768,1.92191124,699.4023438,1.275712967,358.9672852,204.9653931,1147.233887,9.8,14,61.4,0.12,0.14,0.002,0.007,99.706,734.5549316
59.94662476,47.84713745,58.14537048,2.288763046,2.682274509,1.965014696,599.8607178,135.4640657,2.00312233,1.925006866,706.5007324,1.245391846,352.7612305,204.9046631,1148.585205,10.4,13.6,61.4,0.12,0.14,0.002,0.007,99.706,746.3647461
59.74679565,47.84352112,58.32131958,2.287769318,2.688378029,1.9571594,592.8494873,135.3130036,1.997692108,1.919404984,692.5507813,1.283920288,387.0458984,204.9503784,1149.516113,9.9,16,61.3,0.12,0.14,0.002,0.007,99.706,729.0500488
59.75048828,47.83921814,58.24620056,2.288873672,2.685930263,1.97971797,599.8826904,135.138036,1.992555618,1.918661118,697.3391113,1.24196434,355.2587891,204.8565063,1148.19165,10,15.2,61.3,0.12,0.14,0.002,0.007,99.706,732.1188965
59.68360901,47.88667297,58.32493591,2.28172493,2.626802413,1.964007616,589.7207031,134.5180201,1.988695145,1.918390274,707.4145508,1.252038956,433.7426758,205.2044067,1147.177246,10.2,12.4,61.4,0.12,0.14,0.002,0.007,99.706,745.1281738
59.69906616,48.00657654,58.43577576,2.268610001,2.657860429,1.958770752,593.2618408,135.463557,1.987300873,1.914615631,693.6340332,1.240814209,378.0395508,204.9231567,1152.618164,10,12.8,61.4,0.12,0.14,0.002,0.007,99.706,735.3212891
59.73710632,48.26089478,58.56948853,2.265350342,2.68262419,1.971057177,582.1791992,135.7041375,1.986415863,1.912662506,704.2919922,1.267658234,443.0517578,204.9423828,1149.212646,10.1,13.6,61.3,0.12,0.14,0.002,0.007,99.706,737.7961426
59.80703735,48.25442505,58.65640259,2.25318718,2.648196523,1.971258521,573.4139404,135.8841913,1.983579636,1.917848587,705.581543,1.290782928,445.7763672,205.0804443,1150.269775,10.8,12.4,61.3,0.12,0.14,0.002,0.007,99.706,738.7788086
59.81610107,48.45970154,58.59143066,2.279460907,2.721057292,1.961791992,572.7026367,136.790564,1.97942543,1.91368103,707.2600098,1.275270462,447.1386719,205.2559814,1155.755615,11.2,10,61.4,0.12,0.14,0.002,0.007,99.706,738.3527832
59.87266541,48.54663086,58.64408875,2.271409988,2.713968308,1.958972216,590.005249,137.328691,1.980911255,1.908082962,693.0874023,1.259618759,414.3676758,204.8278809,1158.45874,11.2,10.4,61.4,0.12,0.14,0.002,0.007,99.706,730.5012207
59.85871887,48.6599884,58.70407104,2.295001984,2.711679488,1.965014696,576.9398193,136.8063314,1.98018074,1.90728569,693.3015137,1.285171509,409.5996094,204.7303467,1158.943848,11.3,12,61.3,0.12,0.14,0.002,0.007,99.706,730.3710938
59.89901733,48.76202393,58.83161926,2.25904274,2.759712919,1.95816648,584.3232422,138.0468719,1.975028992,1.903518677,707.5720215,1.287996292,429.5800781,204.9234009,1163.954834,10.1,14.8,61.3,0.12,0.14,0.002,0.007,99.706,738.6054688
59.96166992,48.94607544,58.91825867,2.260555267,2.749953645,1.973876953,592.0970459,138.5265068,1.974920273,1.898387909,693.921875,1.235340118,395.2197266,204.7651367,1167.252441,11.1,12.4,61.4,0.12,0.14,0.002,0.007,99.706,731.3876953
59.57632446,48.97827148,58.89202881,2.294525146,2.739558587,1.971661329,597.347168,138.0229664,1.975982666,1.897098541,694.2895508,1.282398224,386.7431641,204.8606567,1168.279785,11.2,14,61.4,0.12,0.14,0.002,0.007,99.706,732.1711426
59.69810486,46.2837677,55.06384277,2.276447296,3.114988645,1.907611132,586.4376221,149.6888276,2.084941864,1.939041138,684.034668,1.245088577,387.8027344,205.0189209,1248.207764,11.5,11.6,60.4,0.12,0.19,0.002,0.008,99.655,753.3461914
59.37461853,45.82279968,54.94696045,2.298051834,3.15215018,1.712640405,535.3685913,150.2610326,2.084505081,1.935796738,702.5378418,1.229867935,543.9379883,203.8814697,1178.168701,12.1,4.8,60.8,0.12,0.18,0.002,0.004,99.668,726.4821777
59.347229,45.49256897,54.78768921,2.261497498,3.209307102,1.715057373,530.5162964,151.4456241,2.083621979,1.934556961,713.0849609,1.298059464,523.9575195,205.3711548,1151.577881,12.5,8.4,60.8,0.12,0.18,0.002,0.004,99.668,742.2756348
59.3538208,45.46412659,54.81790161,2.270973206,3.186037432,1.717071533,529.9854736,151.4100203,2.0884552,1.936658859,714.1225586,1.259763718,556.0473633,205.3598022,1152.215576,12.7,8,60.8,0.12,0.18,0.002,0.004,99.668,743.512207
60.34365845,47.97416687,56.46334839,2.270074844,4.667730487,1.848394752,599.6390381,196.9265119,2.03902626,1.91481781,708.5874023,1.29372406,389.6191406,204.3016968,1141.942383,11.3,12,60.9,0.12,0.18,0.002,0.004,99.668,754.2746582
60.24024963,48.03227234,56.38435364,2.294792175,4.679715002,1.861083984,595.4223633,196.9453311,2.042097092,1.915733337,701.8293457,1.247503281,368.2763672,204.211731,1142.563965,11.2,10,60.9,0.12,0.18,0.002,0.004,99.668,745.4345703
60.21069336,47.94798279,56.50306702,2.324180603,4.673897585,1.857458472,599.8050537,197.3832587,2.038114548,1.917743683,696.9482422,1.242448807,395.4467773,204.2549438,1148.139404,11.1,9.2,60.9,0.12,0.18,0.002,0.004,99.668,737.4194336
